epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,5694.06,0.84746,0.41708,0.96336,0.983,0.99024,0.99361,0.76913,0.87497,0.33984,0.97358,0.000919576,0.000919576,0.000919576
94,5758.25,0.85992,0.42379,0.96197,0.9852,0.98723,0.99396,0.78372,0.86012,0.33448,0.96782,0.000917869,0.000917869,0.000917869
95,5823.02,0.8313,0.41632,0.9511,0.97913,0.99302,0.99363,0.7727,0.88715,0.34181,0.97269,0.000916145,0.000916145,0.000916145
96,5885.97,0.84624,0.42394,0.95927,0.98005,0.98047,0.99378,0.77702,0.86692,0.34231,0.96948,0.000914405,0.000914405,0.000914405
97,5949.39,0.83914,0.42623,0.95182,0.9855,0.99097,0.995,0.76681,0.88554,0.33915,0.98364,0.000912649,0.000912649,0.000912649
98,6013.13,0.84971,0.42582,0.95515,0.97815,0.9841,0.99395,0.77278,0.88607,0.34503,0.98228,0.000910876,0.000910876,0.000910876
99,6076.71,0.83894,0.42332,0.95683,0.98786,0.99529,0.995,0.77405,0.877,0.3321,0.97912,0.000909088,0.000909088,0.000909088
100,6139.98,0.82957,0.41193,0.95464,0.98789,0.99258,0.995,0.77002,0.88255,0.33544,0.98408,0.000907284,0.000907284,0.000907284
101,6202.49,0.84616,0.41682,0.95582,0.98241,0.99626,0.99467,0.76937,0.88065,0.33516,0.97818,0.000905463,0.000905463,0.000905463
102,6265.89,0.84276,0.41478,0.96212,0.981,0.99211,0.995,0.77102,0.89015,0.33641,0.97852,0.000903627,0.000903627,0.000903627
103,6329.6,0.83438,0.41999,0.95201,0.9822,0.9899,0.99476,0.77077,0.87731,0.33593,0.97772,0.000901776,0.000901776,0.000901776
104,6393.04,0.83975,0.41675,0.95888,0.9827,0.99003,0.99476,0.77619,0.88478,0.33573,0.97996,0.000899908,0.000899908,0.000899908
105,6456.39,0.84476,0.41841,0.9618,0.98717,0.98918,0.995,0.78349,0.86659,0.33002,0.9673,0.000898025,0.000898025,0.000898025
106,6519.77,0.82419,0.41294,0.95068,0.9819,0.98322,0.99429,0.77868,0.87672,0.33458,0.97409,0.000896127,0.000896127,0.000896127
107,6583.18,0.82415,0.41081,0.95453,0.98285,0.99209,0.99398,0.78022,0.86686,0.34494,0.97274,0.000894213,0.000894213,0.000894213
108,6646.24,0.83197,0.4156,0.95628,0.98302,0.99394,0.99467,0.7761,0.86947,0.33244,0.97493,0.000892283,0.000892283,0.000892283
109,6709.67,0.83054,0.41125,0.9565,0.98479,0.99635,0.99488,0.77812,0.86444,0.33075,0.97095,0.000890339,0.000890339,0.000890339
110,6773.23,0.82731,0.4104,0.95124,0.98688,0.9873,0.99488,0.77586,0.87298,0.32727,0.9737,0.000888379,0.000888379,0.000888379
111,6836.79,0.84446,0.41676,0.9587,0.9866,0.9946,0.995,0.76931,0.88253,0.32817,0.97427,0.000886404,0.000886404,0.000886404
112,6899.94,0.81728,0.40192,0.9505,0.9866,0.99307,0.995,0.77784,0.8655,0.33015,0.975,0.000884414,0.000884414,0.000884414
113,6963.62,0.81642,0.39727,0.9526,0.98451,0.99541,0.99488,0.77288,0.88168,0.33623,0.98317,0.000882409,0.000882409,0.000882409
114,7026.86,0.81803,0.40382,0.94736,0.98534,0.98909,0.99421,0.77422,0.89109,0.34516,0.98095,0.000880389,0.000880389,0.000880389
115,7089.81,0.81857,0.4074,0.94666,0.98204,0.98185,0.99383,0.77111,0.87803,0.32781,0.98292,0.000878354,0.000878354,0.000878354
116,7152.77,0.81256,0.40295,0.9506,0.97808,0.98693,0.995,0.78504,0.86661,0.33417,0.98067,0.000876305,0.000876305,0.000876305
117,7215.64,0.82133,0.40158,0.95148,0.97674,0.98269,0.99429,0.77281,0.87023,0.33861,0.98251,0.000874241,0.000874241,0.000874241
118,7278.15,0.82309,0.4048,0.95132,0.98138,0.98041,0.9946,0.78324,0.85941,0.33527,0.97515,0.000872162,0.000872162,0.000872162
119,7339.83,0.80475,0.39917,0.94352,0.97896,0.98653,0.99335,0.77758,0.86772,0.33651,0.97641,0.000870069,0.000870069,0.000870069
120,7402.74,0.81463,0.40129,0.94685,0.98659,0.99417,0.995,0.77552,0.87562,0.32614,0.98655,0.000867961,0.000867961,0.000867961
121,7466.08,0.79991,0.39891,0.94323,0.98715,0.99187,0.99476,0.77261,0.88491,0.32969,0.98824,0.000865839,0.000865839,0.000865839
122,7529.87,0.81111,0.40104,0.94542,0.98517,0.9908,0.995,0.77751,0.86984,0.32849,0.9817,0.000863703,0.000863703,0.000863703
123,7592.44,0.80205,0.40122,0.94459,0.98524,0.99333,0.99436,0.77323,0.88204,0.33373,0.9857,0.000861553,0.000861553,0.000861553
124,7656.18,0.79922,0.3972,0.94338,0.98143,0.9954,0.99364,0.77016,0.87525,0.32796,0.98131,0.000859389,0.000859389,0.000859389
125,7719.72,0.80403,0.39653,0.94069,0.9833,0.99475,0.99476,0.76944,0.88076,0.32209,0.98709,0.00085721,0.00085721,0.00085721
126,7783.68,0.79635,0.39335,0.94234,0.98482,0.99676,0.99476,0.76946,0.88646,0.32526,0.98569,0.000855018,0.000855018,0.000855018
127,7845.93,0.79507,0.39259,0.94094,0.98472,0.98971,0.99364,0.76853,0.88928,0.33215,0.98821,0.000852812,0.000852812,0.000852812
128,7908.78,0.79939,0.39853,0.94248,0.98367,0.98803,0.99392,0.77028,0.88437,0.33416,0.98502,0.000850592,0.000850592,0.000850592
129,7972.63,0.7786,0.38441,0.93131,0.98502,0.99754,0.99398,0.76517,0.89619,0.32867,0.98831,0.000848358,0.000848358,0.000848358
130,8036.75,0.78733,0.3904,0.93514,0.98605,0.99801,0.995,0.77024,0.88608,0.32338,0.98701,0.000846111,0.000846111,0.000846111
131,8100.58,0.78955,0.38939,0.94102,0.98259,0.98315,0.99384,0.76814,0.87891,0.32588,0.98236,0.000843851,0.000843851,0.000843851
132,8164.07,0.78465,0.38549,0.93151,0.98615,0.99309,0.99488,0.77171,0.89127,0.32624,0.98593,0.000841577,0.000841577,0.000841577
133,8228,0.78481,0.38723,0.93963,0.98389,0.99369,0.995,0.77233,0.8826,0.32849,0.98724,0.00083929,0.00083929,0.00083929
134,8291.68,0.78485,0.38859,0.93472,0.98581,0.99294,0.99488,0.76761,0.88978,0.32572,0.99132,0.000836989,0.000836989,0.000836989
135,8354.1,0.78609,0.38281,0.93496,0.9881,0.9921,0.995,0.77406,0.87803,0.32329,0.98381,0.000834676,0.000834676,0.000834676
136,8417.04,0.78862,0.38805,0.93698,0.9874,0.99305,0.995,0.77304,0.87872,0.32489,0.98192,0.000832349,0.000832349,0.000832349
137,8480.34,0.78062,0.3799,0.93024,0.98823,0.98754,0.995,0.77672,0.87813,0.32163,0.98223,0.00083001,0.00083001,0.00083001
138,8544.7,0.78548,0.3827,0.9418,0.98453,0.98876,0.99442,0.77702,0.87468,0.32384,0.98036,0.000827658,0.000827658,0.000827658
139,8608.49,0.79233,0.38531,0.93927,0.98805,0.99417,0.99389,0.77172,0.88916,0.32077,0.9878,0.000825293,0.000825293,0.000825293
140,8672.32,0.7695,0.38542,0.93144,0.98441,0.99803,0.99453,0.77621,0.88012,0.31759,0.98247,0.000822915,0.000822915,0.000822915
141,8736.5,0.77943,0.38715,0.93665,0.98973,0.99364,0.995,0.77742,0.88142,0.31372,0.985,0.000820525,0.000820525,0.000820525
142,8798.74,0.77999,0.38918,0.93143,0.98468,0.99196,0.99467,0.77648,0.88407,0.32154,0.98354,0.000818122,0.000818122,0.000818122
143,8861.81,0.7732,0.37785,0.93432,0.98688,0.99535,0.99483,0.77085,0.87785,0.32455,0.98746,0.000815707,0.000815707,0.000815707
144,8925.46,0.77814,0.38908,0.94058,0.9871,0.99183,0.99488,0.78044,0.86887,0.32289,0.98002,0.00081328,0.00081328,0.00081328
145,8989.25,0.76711,0.37389,0.93274,0.98409,0.98954,0.99453,0.77425,0.87309,0.32545,0.9828,0.000810841,0.000810841,0.000810841
146,9052.94,0.76906,0.37797,0.93284,0.98808,0.99217,0.99488,0.78292,0.87365,0.32263,0.98046,0.000808389,0.000808389,0.000808389
147,9116.81,0.75258,0.36951,0.92217,0.98437,0.99328,0.99488,0.77781,0.87246,0.31824,0.98314,0.000805925,0.000805925,0.000805925
148,9180.97,0.76537,0.37617,0.92797,0.98793,0.99107,0.99488,0.77758,0.87107,0.31644,0.98143,0.00080345,0.00080345,0.00080345
